Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,EnvironmentVariables,Toolchain,IsBaseline,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Payload,Mean,Error,StdDev,StdErr,Median,Gen 0,Gen 1,Gen 2,Allocated
Pfim,net-ryu-64bit,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,rgb24_top_left.tga,698.2,10.379,9.2009,2.4590,695.7,2.9936,-,-,12581
FreeImage,net-ryu-64bit,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,rgb24_top_left.tga,"50,091.2",264.759,247.6559,63.9445,"50,064.0",223.0835,27.7710,3.3569,3874
ImageMagick,net-ryu-64bit,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,rgb24_top_left.tga,"288,365.7","1,354.406","1,200.6458",320.8861,"288,570.7",2.9297,-,-,13838
DevILSharp,net-ryu-64bit,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,rgb24_top_left.tga,"9,958.3",128.076,119.8025,30.9329,"9,996.0",0.0153,-,-,128
TargaImage,net-ryu-64bit,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,rgb24_top_left.tga,"80,890.2",316.126,280.2376,74.8967,"80,875.5",25.5127,-,-,107426
ImageFormats,net-ryu-64bit,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,rgb24_top_left.tga,"30,472.8",208.574,195.1002,50.3746,"30,466.1",4.0283,-,-,17098
StbSharp,net-ryu-64bit,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,rgb24_top_left.tga,"23,270.8",303.606,283.9929,73.3267,"23,256.3",16.6321,1.6174,-,69967
TgaSharpLib,net-ryu-64bit,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,rgb24_top_left.tga,"11,482.0",159.986,133.5959,37.0528,"11,461.0",12.0697,-,-,50831
Pfim,net-ryu-64bit,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,true-24-large.tga,"1,387,692.8","3,034.070","2,533.5854",702.6901,"1,388,300.7",281.2500,281.2500,281.2500,4322333
FreeImage,net-ryu-64bit,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,true-24-large.tga,"13,025,273.0","18,741.043","17,530.3814","4,526.3250","13,024,121.4",203.1250,-,-,40192
ImageMagick,net-ryu-64bit,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,true-24-large.tga,"34,803,366.6","182,176.186","161,494.4279","43,161.2014","34,758,138.1",-,-,-,14896
