Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,PowerPlan,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Payload,Mean,Error,StdDev,StdErr,Median,Gen 0,Gen 1,Gen 2,Allocated
Pfim,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit.dds,"1,569.2",3.580,3.349,0.8646,"1,569.9",0.6084,-,-,480
FreeImage,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit.dds,"411,346.8","2,111.433","1,975.036",509.9520,"410,874.7",246.0938,36.1328,2.9297,"6,004"
ImageMagick,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit.dds,"2,195,173.3","41,869.047","39,164.333","10,112.1872","2,190,700.0",-,-,-,"32,816"
DevILSharp,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit.dds,"115,072.4",331.884,294.207,78.6301,"115,051.3",0.1221,-,-,129
Pfim,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,dxt1.dds,"46,734.1",238.576,211.492,56.5236,"46,759.8",0.6104,-,-,513
FreeImage,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,dxt1.dds,"75,354.5",229.949,215.094,55.5372,"75,389.3",223.8770,27.8320,3.1738,"3,377"
ImageMagick,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,dxt1.dds,"539,609.9",833.996,739.315,197.5904,"539,461.9",16.6016,-,-,"13,840"
DevILSharp,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,dxt1.dds,"78,936.6","3,552.771","10,363.600","1,046.8817","78,094.0",0.1221,-,-,129
Pfim,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,dxt3.dds,"78,384.7",314.015,293.730,75.8408,"78,285.2",0.6104,-,-,513
FreeImage,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,dxt3.dds,"90,878.3",428.108,400.452,103.3963,"90,868.8",220.8252,27.3438,3.0518,"3,399"
